State,Tax,Year,Petrol_Consumption_Gal
South Dakota,22,2005,940506000
Tennessee,21.4,2005,6111840000
Texas,20,2005,52055178000
Utah,24.5,2005,2217726000
Virginia,17.5,2005,7726950000
Vermont,20,2005,724542000
Washington,28,2005,5894532000
Wisconsin,29.1,2005,4820802000
West Virginia,27,2005,1776936000
Wyoming,14,2005,1172934000
Alaska,8,2004,2472288000
Alabama,18,2004,4722270000
Arkansas,21.5,2004,2804298000
Arizona,18,2004,4335576000
California,18,2004,28796124000
Colorado,22,2004,3919902000
Connecticut,25,2004,3571722000
"Washington, D.C.",20,2004,236418000
Delaware,23,2004,964026000
Florida,14.3,2004,15930222000
Georgia,7.5,2004,8385132000
Hawaii,16,2004,2062116000
Iowa,20.3,2004,3533544000
Idaho,25,2004,1208214000
Illinois,19.8,2004,10305162000
Indiana,18,2004,6749694000
Kansas,24,2004,3332112000
Kentucky,16.4,2004,5512962000
Louisiana,20,2004,16156434000
Massachusetts,21,2004,5608554000
Maryland,23.5,2004,4556286000
Maine,24.6,2004,1956486000
Michigan,19,2004,7972230000
Minnesota,20,2004,5558742000
Missouri,17.03,2004,5938800000
Mississippi,18.4,2004,3659208000
Montana,27,2004,1351266000
North Carolina,24.55,2004,7384776000
North Dakota,21,2004,1048572000
Nebraska,25.7,2004,1857324000
New Hampshire,19.5,2004,1583862000
New Jersey,14.5,2004,8842848000
New Mexico,18.9,2004,1982358000
Nevada,24,2004,2027760000
New York,22.6,2004,13893600000
Ohio,24,2004,10189956000
Oklahoma,17,2004,4090548000
Oregon,24,2004,2835210000
Pennsylvania,26.2,2004,11327820000
Rhode Island,31,2004,759444000
South Carolina,16,2004,4405422000
South Dakota,22,2004,908082000
Tennessee,21.4,2004,5904612000
Texas,20,2004,53969034000
Utah,24.5,2004,2118228000
Virginia,17.5,2004,7699104000
Vermont,20,2004,751758000
Washington,28,2004,5715864000
Wisconsin,28.5,2004,4848816000
West Virginia,25.35,2004,1787016000
Wyoming,14,2004,1147566000
Alaska,8,2003,2112096000
Alabama,16,2003,4361238000
Arkansas,21.5,2003,2769144000
Arizona,18,2003,4180890000
California,18,2003,27536166000
Colorado,22,2003,3651984000
Connecticut,25,2003,3350592000
"Washington, D.C.",20,2003,230496000
Delaware,23,2003,1029000000
Florida,4,2003,14700714000
Georgia,7.5,2003,8048250000
Hawaii,16,2003,1968162000
Iowa,20.1,2003,3143406000
Idaho,25,2003,1088010000
Illinois,19,2003,9897426000
Indiana,15,2003,6906480000
Kansas,23,2003,3449082000
Kentucky,15,2003,5029290000
Louisiana,20,2003,15258894000
Massachusetts,21,2003,5566596000
Maryland,23.5,2003,4408152000
Maine,22,2003,2008944000
Michigan,19,2003,7878738000
Minnesota,20,2003,5431062000
Missouri,17,2003,5896548000
Mississippi,18,2003,3720024000
Montana,27,2003,1211070000
North Carolina,23.4,2003,7150794000
North Dakota,21,2003,960582000
Nebraska,24.6,2003,1829688000
New Hampshire,18,2003,1549464000
New Jersey,10.5,2003,8695554000
New Mexico,17,2003,1927842000
Nevada,24,2003,1874250000
New York,8,2003,13277418000
Ohio,22,2003,10355100000
Oklahoma,16,2003,4190508000
Oregon,24,2003,2763936000
Pennsylvania,12,2003,11082750000
Rhode Island,30,2003,790104000
South Carolina,16,2003,3846864000
South Dakota,22,2003,904470000
Tennessee,20,2003,5819100000
Texas,20,2003,52195122000
Utah,24.5,2003,2103444000
Virginia,17.5,2003,7249704000
Vermont,19,2003,691656000
Washington,20.5,2003,5553954000
Wisconsin,28.1,2003,4641798000
West Virginia,23,2003,1634220000
Wyoming,13,2003,1192716000
Alaska,8,2002,2045484000
Alabama,16,2002,4380474000
Arkansas,21.5,2002,2769774000
Arizona,18,2002,4092312000
California,18,2002,28535052000
Colorado,22,2002,3485202000
Connecticut,25,2002,2942604000
"Washington, D.C.",20,2002,258258000
Delaware,23,2002,1007454000
Florida,4,2002,14390838000
Georgia,7.5,2002,7857234000
Hawaii,16,2002,1880424000
Iowa,20,2002,3379488000
Idaho,25,2002,1222830000
Illinois,19,2002,9628710000
Indiana,15,2002,6647550000
Kansas,21,2002,2902410000
Kentucky,15,2002,5316150000
Louisiana,20,2002,16090998000
Massachusetts,21,2002,5422578000
Maryland,23.5,2002,4216716000
Maine,22,2002,1733382000
Michigan,19,2002,8055852000
Minnesota,20,2002,5279148000
Missouri,17,2002,5761770000
Mississippi,18,2002,3331482000
Montana,27,2002,1229508000
